district,All_Apartments_Listed,All_Apartments_Leased,Bachelor_Total_Leased,Bachelor_Avg_Lease_Rate,One_Bedroom_Total_Leased,One_Bedroom_Avg_Lease_Rate,Two_Bedroom_Total_Leased,Two_Bedroom_Avg_Lease_Rate,Three_Bedroom_Total_Leased,Three_Bedroom_Avg_Lease_Rate,Year,Quarter,YearQuarter,All_Apartments_Leased_vs_Listed,Bachelor_Total_Leased_Per_Room,Bachelor_Avg_Lease_Rate_Per_Room,One_Bedroom_Total_Leased_Per_Room,One_Bedroom_Avg_Lease_Rate_Per_Room,Two_Bedroom_Total_Leased_Per_Room,Two_Bedroom_Avg_Lease_Rate_Per_Room,Three_Bedroom_Total_Leased_Per_Room,Three_Bedroom_Avg_Lease_Rate_Per_Room
C01,2038.0,1194.0,59.0,1332.0,759.0,1666.0,370.0,2510.0,6.0,3194.0,2012,1,2012Q1,0.5858684985279686,59.0,1332.0,759.0,1666.0,740.0,1255.0,18.0,1064.6666666666667
C01,2160.0,1350.0,78.0,1350.0,795.0,1739.0,453.0,2603.0,24.0,4321.0,2012,2,2012Q2,0.625,78.0,1350.0,795.0,1739.0,906.0,1301.5,72.0,1440.3333333333333
C01,2255.0,1408.0,50.0,1410.0,859.0,1802.0,476.0,2667.0,23.0,3891.0,2012,3,2012Q3,0.624390243902439,50.0,1410.0,859.0,1802.0,952.0,1333.5,69.0,1297.0
C01,1917.0,1012.0,37.0,1426.0,647.0,1844.0,319.0,2650.0,9.0,3717.0,2012,4,2012Q4,0.5279081898800209,37.0,1426.0,647.0,1844.0,638.0,1325.0,27.0,1239.0
C01,2845.0,1350.0,62.0,1338.0,868.0,1758.0,404.0,2578.0,16.0,4719.0,2013,1,2013Q1,0.47451669595782076,62.0,1338.0,868.0,1758.0,808.0,1289.0,48.0,1573.0
C01,3601.0,2073.0,96.0,1386.0,1307.0,1734.0,650.0,2650.0,20.0,4000.0,2013,2,2013Q2,0.5756734240488753,96.0,1386.0,1307.0,1734.0,1300.0,1325.0,60.0,1333.3333333333333
C01,3479.0,2100.0,101.0,1393.0,1287.0,1780.0,685.0,2616.0,27.0,3804.0,2013,3,2013Q3,0.6036217303822937,101.0,1393.0,1287.0,1780.0,1370.0,1308.0,81.0,1268.0
C01,2955.0,1289.0,57.0,1383.0,840.0,1767.0,378.0,2592.0,14.0,3696.0,2013,4,2013Q4,0.4362098138747885,57.0,1383.0,840.0,1767.0,756.0,1296.0,42.0,1232.0
C01,3751.0,1659.0,64.0,1354.0,1102.0,1750.0,469.0,2588.0,24.0,4354.0,2014,1,2014Q1,0.4422820581178352,64.0,1354.0,1102.0,1750.0,938.0,1294.0,72.0,1451.3333333333333
C01,3927.0,2410.0,112.0,1360.0,1573.0,1760.0,698.0,2562.0,27.0,3774.0,2014,2,2014Q2,0.6137000254647313,112.0,1360.0,1573.0,1760.0,1396.0,1281.0,81.0,1258.0
C01,3792.0,2560.0,124.0,1445.0,1585.0,1789.0,814.0,2616.0,37.0,3584.0,2014,3,2014Q3,0.6751054852320675,124.0,1445.0,1585.0,1789.0,1628.0,1308.0,111.0,1194.6666666666667
C01,3550.0,1639.0,67.0,1373.0,1072.0,1744.0,482.0,2556.0,18.0,4139.0,2014,4,2014Q4,0.46169014084507043,67.0,1373.0,1072.0,1744.0,964.0,1278.0,54.0,1379.6666666666667
C01,4633.0,2106.0,96.0,1335.0,1336.0,1704.0,640.0,2487.0,34.0,3410.0,2015,1,2015Q1,0.4545650766242176,96.0,1335.0,1336.0,1704.0,1280.0,1243.5,102.0,1136.6666666666667
C01,4924.0,2931.0,201.0,1352.0,1836.0,1749.0,841.0,2639.0,53.0,3602.0,2015,2,2015Q2,0.5952477660438668,201.0,1352.0,1836.0,1749.0,1682.0,1319.5,159.0,1200.6666666666667
C01,4720.0,3154.0,181.0,1412.0,1984.0,1783.0,921.0,2693.0,68.0,3408.0,2015,3,2015Q3,0.6682203389830509,181.0,1412.0,1984.0,1783.0,1842.0,1346.5,204.0,1136.0
C01,3809.0,2008.0,83.0,1406.0,1326.0,1791.0,559.0,2670.0,40.0,3436.0,2015,4,2015Q4,0.5271724862168549,83.0,1406.0,1326.0,1791.0,1118.0,1335.0,120.0,1145.3333333333333
C01,4059.0,2351.0,121.0,1404.0,1548.0,1774.0,634.0,2973.0,48.0,3534.0,2016,1,2016Q1,0.5792067011579207,121.0,1404.0,1548.0,1774.0,1268.0,1486.5,144.0,1178.0
C01,4152.0,2941.0,171.0,1451.0,1834.0,1855.0,867.0,2748.0,69.0,3623.0,2016,2,2016Q2,0.7083333333333334,171.0,1451.0,1834.0,1855.0,1734.0,1374.0,207.0,1207.6666666666667
C01,4508.0,3377.0,217.0,1520.0,2073.0,1919.0,1037.0,2817.0,50.0,4293.0,2016,3,2016Q3,0.7491126885536823,217.0,1520.0,2073.0,1919.0,2074.0,1408.5,150.0,1431.0
C01,3405.0,1953.0,148.0,1534.0,1235.0,1923.0,538.0,2864.0,32.0,4423.0,2016,4,2016Q4,0.573568281938326,148.0,1534.0,1235.0,1923.0,1076.0,1432.0,96.0,1474.3333333333333
C01,3827.0,2137.0,127.0,1543.0,1351.0,1947.0,632.0,2890.0,27.0,4338.0,2017,1,2017Q1,0.5584008361640972,127.0,1543.0,1351.0,1947.0,1264.0,1445.0,81.0,1446.0
C01,3791.0,2748.0,164.0,1591.0,1699.0,2030.0,827.0,2983.0,58.0,4088.0,2017,2,2017Q2,0.7248747032445265,164.0,1591.0,1699.0,2030.0,1654.0,1491.5,174.0,1362.6666666666667
C01,3797.0,2839.0,185.0,1707.0,1717.0,2158.0,870.0,3039.0,67.0,4279.0,2017,3,2017Q3,0.7476955491177245,185.0,1707.0,1717.0,2158.0,1740.0,1519.5,201.0,1426.3333333333333
C01,2903.0,1789.0,97.0,1706.0,1112.0,2152.0,532.0,3158.0,48.0,4460.0,2017,4,2017Q4,0.6162590423699621,97.0,1706.0,1112.0,2152.0,1064.0,1579.0,144.0,1486.6666666666667
C01,3064.0,1906.0,118.0,1705.0,1199.0,2189.0,551.0,3222.0,38.0,4687.0,2018,1,2018Q1,0.6220626631853786,118.0,1705.0,1199.0,2189.0,1102.0,1611.0,114.0,1562.3333333333333
C01,3486.0,2534.0,168.0,1780.0,1534.0,2248.0,782.0,3239.0,50.0,4298.0,2018,2,2018Q2,0.7269076305220884,168.0,1780.0,1534.0,2248.0,1564.0,1619.5,150.0,1432.6666666666667
C01,3845.0,2727.0,176.0,1912.0,1744.0,2377.0,760.0,3331.0,47.0,4356.0,2018,3,2018Q3,0.7092327698309493,176.0,1912.0,1744.0,2377.0,1520.0,1665.5,141.0,1452.0
C01,3330.0,1727.0,99.0,1877.0,1152.0,2319.0,443.0,3312.0,33.0,4330.0,2018,4,2018Q4,0.5186186186186186,99.0,1877.0,1152.0,2319.0,886.0,1656.0,99.0,1443.3333333333333
C01,3959.0,1990.0,154.0,1831.0,1247.0,2326.0,554.0,3304.0,35.0,5205.0,2019,1,2019Q1,0.5026521848951756,154.0,1831.0,1247.0,2326.0,1108.0,1652.0,105.0,1735.0
C01,4517.0,2768.0,204.0,1865.0,1723.0,2359.0,771.0,3363.0,70.0,4888.0,2019,2,2019Q2,0.6127961036085898,204.0,1865.0,1723.0,2359.0,1542.0,1681.5,210.0,1629.3333333333333
C01,4931.0,3133.0,213.0,1958.0,2015.0,2417.0,842.0,3443.0,63.0,4788.0,2019,3,2019Q3,0.6353680794970594,213.0,1958.0,2015.0,2417.0,1684.0,1721.5,189.0,1596.0
C01,4431.0,1872.0,128.0,1909.0,1262.0,2343.0,454.0,3306.0,28.0,4358.0,2019,4,2019Q4,0.42247799593771157,128.0,1909.0,1262.0,2343.0,908.0,1653.0,84.0,1452.6666666666667
C01,5360.0,2127.0,147.0,1866.0,1386.0,2324.0,547.0,3319.0,47.0,4788.0,2020,1,2020Q1,0.39682835820895523,147.0,1866.0,1386.0,2324.0,1094.0,1659.5,141.0,1596.0
C01,8152.0,2391.0,170.0,1696.0,1471.0,2179.0,676.0,3002.0,74.0,3959.0,2020,2,2020Q2,0.29330225711481844,170.0,1696.0,1471.0,2179.0,1352.0,1501.0,222.0,1319.6666666666667
C01,12795.0,4702.0,315.0,1625.0,2904.0,2063.0,1347.0,2913.0,136.0,4158.0,2020,3,2020Q3,0.36748729972645566,315.0,1625.0,2904.0,2063.0,2694.0,1456.5,408.0,1386.0
