district,Listed_AllApartments,Leased_AllApartments,LeasedvsListed_AllApartments,Year,Quarter,YearQuarter,RoomType,TotalLeased,AvgLeaseRate,TotalLeasedPerRoom,AvgLeaseRatePerRoom
C01,2038.0,1194.0,0.5858684985279686,2012,1,2012Q1,OneBedroom,759.0,1666.0,759.0,1666.0
C01,2038.0,1194.0,0.5858684985279686,2012,1,2012Q1,TwoBedroom,370.0,2510.0,740.0,1255.0
C01,2038.0,1194.0,0.5858684985279686,2012,1,2012Q1,ThreeBedroom,6.0,3194.0,18.0,1064.6666666666667
C01,2038.0,1194.0,0.5858684985279686,2012,1,2012Q1,AllApartments,1135.0,1949.2140969162995,1517.0,1458.377059986816
C01,2038.0,1194.0,0.5858684985279686,2012,1,2012Q1,SharedApartments,376.0,2520.9148936170213,758.0,1250.480211081794
C01,2160.0,1350.0,0.625,2012,2,2012Q2,OneBedroom,795.0,1739.0,795.0,1739.0
C01,2160.0,1350.0,0.625,2012,2,2012Q2,TwoBedroom,453.0,2603.0,906.0,1301.5
C01,2160.0,1350.0,0.625,2012,2,2012Q2,ThreeBedroom,24.0,4321.0,72.0,1440.3333333333333
C01,2160.0,1350.0,0.625,2012,2,2012Q2,AllApartments,1272.0,2095.4150943396226,1773.0,1503.3096446700508
C01,2160.0,1350.0,0.625,2012,2,2012Q2,SharedApartments,477.0,2689.4402515723273,978.0,1311.7208588957055
C01,2255.0,1408.0,0.624390243902439,2012,3,2012Q3,OneBedroom,859.0,1802.0,859.0,1802.0
C01,2255.0,1408.0,0.624390243902439,2012,3,2012Q3,TwoBedroom,476.0,2667.0,952.0,1333.5
C01,2255.0,1408.0,0.624390243902439,2012,3,2012Q3,ThreeBedroom,23.0,3891.0,69.0,1297.0
C01,2255.0,1408.0,0.624390243902439,2012,3,2012Q3,AllApartments,1358.0,2140.576583210604,1880.0,1546.225
C01,2255.0,1408.0,0.624390243902439,2012,3,2012Q3,SharedApartments,499.0,2723.4168336673347,1021.0,1331.0333006856024
C01,1917.0,1012.0,0.5279081898800209,2012,4,2012Q4,OneBedroom,647.0,1844.0,647.0,1844.0
C01,1917.0,1012.0,0.5279081898800209,2012,4,2012Q4,TwoBedroom,319.0,2650.0,638.0,1325.0
C01,1917.0,1012.0,0.5279081898800209,2012,4,2012Q4,ThreeBedroom,9.0,3717.0,27.0,1239.0
C01,1917.0,1012.0,0.5279081898800209,2012,4,2012Q4,AllApartments,975.0,2124.9958974358974,1312.0,1579.1699695121952
