NEIGHBOURHOOD,HOOD_ID,OCC_YEAR,area,POP,type,PersonInCrisis,MentalHealth
South Eglinton-Davisville,174,2014,0.944300725452111,18261,count,138.0,35.0
South Eglinton-Davisville,174,2015,0.944300725452111,18859,count,139.0,37.0
South Eglinton-Davisville,174,2016,0.944300725452111,19359,count,163.0,61.0
South Eglinton-Davisville,174,2017,0.944300725452111,16653,count,146.0,49.0
South Eglinton-Davisville,174,2018,0.944300725452111,30610,count,216.0,61.0
South Eglinton-Davisville,174,2019,0.944300725452111,18707,count,201.0,74.0
South Eglinton-Davisville,174,2020,0.944300725452111,21753,count,190.0,86.0
South Eglinton-Davisville,174,2021,0.944300725452111,20261,count,206.0,84.0
South Eglinton-Davisville,174,2022,0.944300725452111,21368,count,188.0,68.0
North Toronto,173,2014,0.40202724094748443,11629,count,85.0,26.0
North Toronto,173,2015,0.40202724094748443,12674,count,97.0,32.0
North Toronto,173,2016,0.40202724094748443,12131,count,126.0,57.0
North Toronto,173,2017,0.40202724094748443,11306,count,121.0,34.0
North Toronto,173,2018,0.40202724094748443,11259,count,131.0,43.0
North Toronto,173,2019,0.40202724094748443,21392,count,122.0,39.0
North Toronto,173,2020,0.40202724094748443,12636,count,268.0,88.0
North Toronto,173,2021,0.40202724094748443,13860,count,444.0,126.0
North Toronto,173,2022,0.40202724094748443,12733,count,232.0,80.0
Dovercourt Village,172,2014,1.5029888337879207,13591,count,85.0,28.0
Dovercourt Village,172,2015,1.5029888337879207,14869,count,91.0,40.0
Dovercourt Village,172,2016,1.5029888337879207,11489,count,125.0,45.0
Dovercourt Village,172,2017,1.5029888337879207,13992,count,191.0,77.0
Dovercourt Village,172,2018,1.5029888337879207,17477,count,231.0,63.0
Dovercourt Village,172,2019,1.5029888337879207,13722,count,261.0,67.0
Dovercourt Village,172,2020,1.5029888337879207,13325,count,234.0,76.0
Dovercourt Village,172,2021,1.5029888337879207,17438,count,194.0,72.0
Dovercourt Village,172,2022,1.5029888337879207,15190,count,226.0,97.0
Junction-Wallace Emerson,171,2014,2.222846962176362,23486,count,262.0,72.0
Junction-Wallace Emerson,171,2015,2.222846962176362,24211,count,238.0,72.0
Junction-Wallace Emerson,171,2016,2.222846962176362,24113,count,251.0,76.0
Junction-Wallace Emerson,171,2017,2.222846962176362,26073,count,269.0,82.0
Junction-Wallace Emerson,171,2018,2.222846962176362,22859,count,290.0,91.0
Junction-Wallace Emerson,171,2019,2.222846962176362,26436,count,329.0,116.0
Junction-Wallace Emerson,171,2020,2.222846962176362,31211,count,316.0,102.0
Junction-Wallace Emerson,171,2021,2.222846962176362,23023,count,355.0,97.0
Junction-Wallace Emerson,171,2022,2.222846962176362,24503,count,256.0,83.0
Yonge-Bay Corridor,170,2014,1.1187145978079425,10319,count,470.0,125.0
Yonge-Bay Corridor,170,2015,1.1187145978079425,10647,count,453.0,144.0
Yonge-Bay Corridor,170,2016,1.1187145978079425,11256,count,598.0,176.0
Yonge-Bay Corridor,170,2017,1.1187145978079425,12185,count,587.0,178.0
Yonge-Bay Corridor,170,2018,1.1187145978079425,13218,count,746.0,179.0
Yonge-Bay Corridor,170,2019,1.1187145978079425,13335,count,751.0,184.0
Yonge-Bay Corridor,170,2020,1.1187145978079425,13781,count,753.0,172.0
Yonge-Bay Corridor,170,2021,1.1187145978079425,13715,count,827.0,193.0
Yonge-Bay Corridor,170,2022,1.1187145978079425,15547,count,839.0,199.0
Bay-Cloverhill,169,2014,0.6905425701135255,14004,count,169.0,41.0
Bay-Cloverhill,169,2015,0.6905425701135255,14024,count,160.0,46.0
Bay-Cloverhill,169,2016,0.6905425701135255,15186,count,194.0,45.0
Bay-Cloverhill,169,2017,0.6905425701135255,14851,count,223.0,56.0
Bay-Cloverhill,169,2018,0.6905425701135255,15812,count,277.0,57.0
Bay-Cloverhill,169,2019,0.6905425701135255,19015,count,285.0,66.0
