index,occurrence_unique_id,occurrence_year,division,homicide_type,occurrence_date,hood_id,neighbourhood,longitude,latitude,object_id,x,y
1304,GO-20192106976,2019,D53,Stabbing,2019-10-31 12:00:00,95,Annex (95),-79.40414752,43.66746377,1201,-79.40414752,43.66746376999999
1305,GO-20192131648,2019,D22,Shooting,2019-11-04 13:00:00,14,Islington-City Centre West (14),-79.55611632,43.61421803,1202,-79.55611632000002,43.614218029999996
1307,GO-20192136178,2019,D55,Shooting,2019-11-05 13:00:00,61,Taylor-Massey (61),-79.2996563,43.69468093,1203,-79.2996563,43.69468093
1308,GO-20192150110,2019,D12,Shooting,2019-11-07 13:00:00,113,Weston (113),-79.50420958,43.70447479,1204,-79.50420958,43.704474790000006
1309,GO-20192212187,2019,D13,Shooting,2019-11-16 13:00:00,107,Oakwood Village (107),-79.44028456,43.6914827,1205,-79.44028456000001,43.6914827
1310,GO-20192263515,2019,D43,Shooting,2019-11-23 13:00:00,138,Eglinton East (138),-79.24468,43.74478793,1206,-79.24468,43.74478792999999
1314,GO-20192361770,2019,D31,Shooting,2019-12-07 13:00:00,21,Humber Summit (21),-79.54266883,43.75333712,1207,-79.54266882999998,43.75333712
1316,GO-20192390277,2019,D33,Shooting,2019-12-11 13:00:00,49,Bayview Woods-Steeles (49),-79.36908237,43.79129462,1208,-79.36908237,43.791294619999995
1317,GO-20192390677,2019,D23,Other,2019-12-11 13:00:00,1,West Humber-Clairville (1),-79.60269102,43.72372827,1209,-79.60269102,43.723728269999995
1318,GO-20192412908,2019,D31,Shooting,2019-12-15 13:00:00,26,Downsview-Roding-CFB (26),-79.48248767,43.72856336,1210,-79.48248767,43.728563359999995
1319,GO-20192378461,2019,D41,Stabbing,2019-12-10 13:00:00,119,Wexford/Maryvale (119),-79.30173229,43.74710768,1211,-79.30173229,43.747107679999985
1320,GO-20192452711,2019,D12,Other,2019-12-20 13:00:00,113,Weston (113),-79.51127669,43.69834448,1212,-79.51127669,43.69834448
1321,GO-20192464487,2019,D14,Other,2019-12-22 13:00:00,79,University (79),-79.40599871,43.66226023,1213,-79.40599871000002,43.66226023
1322,GO-20192470898,2019,D14,Stabbing,2019-12-23 13:00:00,85,South Parkdale (85),-79.43657354,43.63873271,1214,-79.43657353999998,43.63873270999999
1324,GO-20192465270,2019,D51,Stabbing,2019-12-22 13:00:00,73,Moss Park (73),-79.37099208,43.65829436,1215,-79.37099208000001,43.65829435999999
1325,GO-20192490349,2019,D22,Shooting,2019-12-27 13:00:00,13,Etobicoke West Mall (13),-79.56478117,43.63934284,1216,-79.56478117000002,43.63934284
1326,GO-20192503671,2019,D43,Shooting,2019-12-29 13:00:00,138,Eglinton East (138),-79.23969294,43.74160962,1217,-79.23969294,43.741609619999984
1327,GO-20205967,2020,D51,Shooting,2020-01-01 13:00:00,72,Regent Park (72),-79.35864726,43.66241529,1218,-79.35864726,43.662415289999984
1328,GO-20192520736,2019,D42,Shooting,2019-12-31 13:00:00,132,Malvern (132),-79.22671389,43.81198024,1219,-79.22671389,43.81198024
1331,GO-20192445475,2019,D42,Stabbing,2019-12-19 13:00:00,118,Tam O'Shanter-Sullivan (118),-79.2993063,43.78359438,1220,-79.2993063,43.78359437999999
1332,GO-202069552,2020,D43,Shooting,2020-01-11 13:00:00,135,Morningside (135),-79.20909342,43.78706868,1221,-79.20909342,43.78706867999999
