index,occurrence_unique_id,occurrence_date,occurrence_year,occurrence_month,occurrence_dayofweek,occurrence_hour,time_range,division,death,injuries,hood_id,neighbourhood,longitude,latitude,object_id,x,y
1,GO-2004133803,2004-01-01 13:00:00,2004,January,Thursday,0.0,Night,D31,0,1,23,Pelmo Park-Humberlea (23),-79.53818881,43.73374801,1,-79.53818881,43.73374800999999
2,GO-2004120070,2004-01-03 13:00:00,2004,January,Saturday,1.0,Night,D55,0,0,NSA,NSA,0.0,0.0,2,0.0,0.0
3,GO-2004135509,2004-01-04 13:00:00,2004,January,Sunday,4.0,Night,D14,0,2,78,Kensington-Chinatown (78),-79.39927621,43.65610155,3,-79.39927621,43.656101549999995
4,GO-2004126451,2004-01-05 13:00:00,2004,January,Monday,13.0,Afternoon,D41,0,1,124,Kennedy Park (124),-79.25598856,43.7328782,4,-79.25598856000002,43.732878199999995
5,GO-2004136310,2004-01-06 13:00:00,2004,January,Tuesday,19.0,Evening,D42,0,0,132,Malvern (132),-79.20648936,43.8083524,5,-79.20648936,43.80835239999999
6,GO-2004139160,2004-01-06 13:00:00,2004,January,Tuesday,19.0,Evening,D42,0,0,132,Malvern (132),-79.20737829,43.80179402,6,-79.20737829,43.80179401999999
7,GO-2004125755,2004-01-08 13:00:00,2004,January,Thursday,8.0,Morning,D42,1,0,137,Woburn (137),-79.23384908,43.78174501,7,-79.23384907999998,43.78174501
8,GO-2004136086,2004-01-08 13:00:00,2004,January,Thursday,14.0,Afternoon,D42,1,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,8,-79.50770752,43.71737949
9,GO-2004147495,2004-01-13 13:00:00,2004,January,Tuesday,18.0,Evening,D42,0,1,132,Malvern (132),-79.22088214,43.80557764,9,-79.22088214,43.805577639999996
10,GO-2004147139,2004-01-18 13:00:00,2004,January,Sunday,19.0,Evening,D32,0,1,36,Newtonbrook West (36),-79.41958993,43.79632342,10,-79.41958992999999,43.79632342
11,GO-2004149554,2004-01-19 13:00:00,2004,January,Monday,23.0,Evening,D42,0,0,132,Malvern (132),-79.19709423,43.79676765,11,-79.19709423,43.79676765
12,GO-2004150454,2004-01-19 13:00:00,2004,January,Monday,10.0,Morning,D55,0,0,59,Danforth East York (59),-79.33752893,43.68626652,12,-79.33752893,43.68626651999999
13,GO-2004149400,2004-01-21 13:00:00,2004,January,Wednesday,0.0,Night,D42,0,0,132,Malvern (132),-79.21056263,43.79741892,13,-79.21056263000001,43.79741892
14,GO-2004153438,2004-01-23 13:00:00,2004,January,Friday,1.0,Night,D42,0,1,135,Morningside (135),-79.21575255,43.78952892,14,-79.21575255000002,43.78952892000001
15,GO-2004153036,2004-01-24 13:00:00,2004,January,Saturday,20.0,Evening,D42,0,0,117,L'Amoreaux (117),-79.30239461,43.79721854,15,-79.30239461,43.79721854
16,GO-2004153417,2004-01-24 13:00:00,2004,January,Saturday,1.0,Night,D31,0,1,113,Weston (113),-79.50379913,43.70287945,16,-79.50379913,43.702879450000005
17,GO-2004156017,2004-01-24 13:00:00,2004,January,Saturday,14.0,Afternoon,D41,0,0,127,Bendale (127),-79.25145731,43.77214083,17,-79.25145731000002,43.77214082999999
18,GO-2004148623,2004-01-25 13:00:00,2004,January,Sunday,4.0,Night,D13,1,0,93,Dovercourt-Wallace Emerson-Junction (93),-79.43436062,43.6704717,18,-79.43436061999999,43.6704717
19,GO-2004148619,2004-01-25 13:00:00,2004,January,Sunday,0.0,Night,D42,1,0,131,Rouge (131),-79.20382249,43.82353918,19,-79.20382249,43.823539180000004
20,GO-2004157000,2004-01-26 13:00:00,2004,January,Monday,0.0,Night,D42,0,0,132,Malvern (132),-79.21353493,43.80627178,20,-79.21353493,43.80627178
21,GO-2004170771,2004-01-31 13:00:00,2004,January,Saturday,21.0,Evening,D32,0,0,31,Yorkdale-Glen Park (31),-79.45686309,43.72385422,21,-79.45686309,43.72385422
22,GO-2004187244,2004-02-12 13:00:00,2004,February,Thursday,0.0,Night,D41,0,0,126,Dorset Park (126),-79.27283135,43.76533539,22,-79.27283134999999,43.76533539
23,GO-2004195761,2004-02-21 13:00:00,2004,February,Saturday,11.0,Morning,D53,0,0,104,Mount Pleasant West (104),-79.39678883,43.70706033,23,-79.39678883,43.70706032999999
24,GO-2004172092,2004-02-21 13:00:00,2004,February,Saturday,0.0,Night,D13,1,0,107,Oakwood Village (107),-79.44177518,43.69498743,24,-79.44177517999998,43.69498743
25,GO-2004194940,2004-02-26 13:00:00,2004,February,Thursday,19.0,Evening,D42,0,1,118,Tam O'Shanter-Sullivan (118),-79.28822199,43.78328634,25,-79.28822199,43.78328633999999
26,GO-2004218585,2004-03-03 13:00:00,2004,March,Wednesday,0.0,Night,D42,1,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,26,-79.50770752,43.71737949
27,GO-2004218803,2004-03-03 13:00:00,2004,March,Wednesday,0.0,Night,D42,1,1,136,West Hill (136),-79.17538949,43.76846663,27,-79.17538949,43.76846662999999
28,GO-2004200779,2004-03-04 13:00:00,2004,March,Thursday,1.0,Night,D41,1,0,120,Clairlea-Birchmount (120),-79.28668911,43.70008354,28,-79.28668911,43.70008354
29,GO-2004224089,2004-03-07 13:00:00,2004,March,Sunday,1.0,Night,D23,0,1,5,Elms-Old Rexdale (5),-79.55384096,43.71806233,29,-79.55384096000002,43.71806233
30,GO-2004233515,2004-03-10 13:00:00,2004,March,Wednesday,21.0,Evening,D42,0,2,137,Woburn (137),-79.23293774,43.77954305,30,-79.23293774,43.77954305000001
31,GO-2004232446,2004-03-13 13:00:00,2004,March,Saturday,0.0,Night,D41,0,0,124,Kennedy Park (124),-79.25647668,43.73074594,31,-79.25647668,43.73074593999999
32,GO-2004237217,2004-03-13 13:00:00,2004,March,Saturday,22.0,Evening,D31,0,0,26,Downsview-Roding-CFB (26),-79.5137606,43.71983148,32,-79.5137606,43.71983147999999
33,GO-2004235315,2004-03-14 13:00:00,2004,March,Sunday,18.0,Evening,D23,0,1,1,West Humber-Clairville (1),-79.61961826,43.73032221,33,-79.61961826000001,43.73032221
34,GO-2004213938,2004-03-14 13:00:00,2004,March,Sunday,0.0,Night,D33,0,0,45,Parkwoods-Donalda (45),-79.31866636,43.75992449,34,-79.31866636,43.759924489999996
35,GO-2004232800,2004-03-14 13:00:00,2004,March,Sunday,18.0,Evening,D31,0,1,24,Black Creek (24),-79.51472666,43.76721178,35,-79.51472666,43.76721178
36,GO-2004239294,2004-03-19 13:00:00,2004,March,Friday,22.0,Evening,D41,0,1,139,Scarborough Village (139),-79.2202886,43.74654133,36,-79.2202886,43.746541329999985
37,GO-2004252448,2004-03-20 13:00:00,2004,March,Saturday,12.0,Afternoon,D31,0,1,137,Woburn (137),-79.25119734,43.77968425,37,-79.25119734000002,43.779684249999995
38,GO-2004239286,2004-03-20 13:00:00,2004,March,Saturday,0.0,Night,D13,0,1,107,Oakwood Village (107),-79.44764573,43.69625936,38,-79.44764573,43.69625935999999
39,GO-2004255502,2004-03-29 13:00:00,2004,March,Monday,16.0,Afternoon,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,39,-79.51472666,43.76721178
40,GO-2004255020,2004-03-29 13:00:00,2004,March,Monday,9.0,Morning,D41,0,0,138,Eglinton East (138),-79.23232822,43.74379368,40,-79.23232822000001,43.743793679999996
41,GO-2004268947,2004-03-29 13:00:00,2004,March,Monday,0.0,Night,D41,0,1,127,Bendale (127),-79.26307673,43.75376627,41,-79.26307673,43.75376627
42,GO-2004251775,2004-03-29 13:00:00,2004,March,Monday,11.0,Morning,D42,0,0,137,Woburn (137),-79.2246687,43.75783951,42,-79.2246687,43.75783950999999
43,GO-2004259451,2004-04-05 12:00:00,2004,April,Monday,23.0,Evening,D23,0,1,8,Humber Heights-Westmount (8),-79.51745424,43.69262736,43,-79.51745424,43.69262736
