X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8854150.67694845,5424331.10165644,1,GO-2004133803,2004/01/01 05:00:00+00,2004,January,Thursday  ,0,Night,D31,0,1,23,Pelmo Park-Humberlea (23),-79.53818881,43.73374801,1
0,0,2,GO-2004120070,2004/01/03 05:00:00+00,2004,January,Saturday  ,1,Night,D54,0,0,NSA,NSA,0,0,2
-8838686.99705168,5412376.43021611,3,GO-2004135509,2004/01/04 05:00:00+00,2004,January,Sunday    ,4,Night,D14,0,2,78,Kensington-Chinatown (78),-79.39927621,43.65610155,3
-8822736.28881672,5424197.09743223,4,GO-2004126451,2004/01/05 05:00:00+00,2004,January,Monday    ,13,Afternoon,D41,0,1,124,Kennedy Park (124),-79.25598856,43.7328782,4
-8817226.06307804,5435832.01708684,5,GO-2004136310,2004/01/06 05:00:00+00,2004,January,Tuesday   ,19,Evening,D42,0,0,132,Malvern (132),-79.20648936,43.8083524,5
-8817325.01831299,5434820.41033131,6,GO-2004139160,2004/01/06 05:00:00+00,2004,January,Tuesday   ,19,Evening,D42,0,0,132,Malvern (132),-79.20737829,43.80179402,6
-8820271.73317669,5431728.61038425,7,GO-2004125755,2004/01/08 05:00:00+00,2004,January,Thursday  ,8,Morning,D42,1,0,137,Woburn (137),-79.23384908,43.78174501,7
-8850757.51526693,5421809.66930981,8,GO-2004136086,2004/01/08 05:00:00+00,2004,January,Thursday  ,14,Afternoon,D42,1,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,8
-8818828.26001874,5435404.00668554,9,GO-2004147495,2004/01/13 05:00:00+00,2004,January,Tuesday   ,18,Evening,D42,0,1,132,Malvern (132),-79.22088214,43.80557764,9
-8840948.3100182,5433976.67471193,10,GO-2004147139,2004/01/18 05:00:00+00,2004,January,Sunday    ,19,Evening,D32,0,1,36,Newtonbrook West (36),-79.41958993,43.79632342,10
-8816180.2019905,5434045.1858276,11,GO-2004149554,2004/01/19 05:00:00+00,2004,January,Monday    ,23,Evening,D42,0,0,132,Malvern (132),-79.19709423,43.79676765,11
-8831813.32128421,5417018.87704377,12,GO-2004150454,2004/01/19 05:00:00+00,2004,January,Monday    ,10,Morning,D54,0,0,59,Danforth East York (59),-79.33752893,43.68626652,12
-8817679.49742031,5434145.62848866,13,GO-2004149400,2004/01/21 05:00:00+00,2004,January,Wednesday ,0,Night,D42,0,0,132,Malvern (132),-79.21056263,43.79741892,13
-8818257.23667196,5432928.86032875,14,GO-2004153438,2004/01/23 05:00:00+00,2004,January,Friday    ,1,Night,D42,0,1,135,Morningside (135),-79.21575255,43.78952892,14
-8827902.18667244,5434114.72459879,15,GO-2004153036,2004/01/24 05:00:00+00,2004,January,Saturday  ,20,Evening,D42,0,0,117,L'Amoreaux (117),-79.30239461,43.79721854,15
-8850322.43528231,5419576.63581028,16,GO-2004153417,2004/01/24 05:00:00+00,2004,January,Saturday  ,1,Night,D31,0,1,113,Weston (113),-79.50379913,43.70287945,16
-8822231.87237406,5430247.89691861,17,GO-2004156017,2004/01/24 05:00:00+00,2004,January,Saturday  ,14,Afternoon,D41,0,0,127,Bendale (127),-79.25145731,43.77214083,17
-8842592.57570766,5414587.73289346,18,GO-2004148623,2004/01/25 05:00:00+00,2004,January,Sunday    ,4,Night,D13,1,0,93,Dovercourt-Wallace Emerson-Junction (93),-79.43436062,43.6704717,18
